Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1919,74,74,86,97,101,113,110,110,106,90,84,76
1920,79,76,83,94,105,110,114,108,105,98,79,75
1921,77,92,95,96,101,110,110,107,105,100,89,76
1922,69,80,83,92,105,114,112,110,107,100,80,74
1923,84,82,84,92,104,112,111,105,105,92,80,71
1924,74,82,81,91,104,112,110,109,107,99,96,80
1925,81,86,94,103,106,111,118,107,102,97,83,78
1926,72,84,87,96,102,113,111,110,104,96,87,77
1927,83,80,87,99,107,111,112,111,104,98,85,77
1928,78,81,89,98,103,110,112,112,109,101,84,77
1929,72,80,86,91,100,118,111,108,107,104,87,79
1930,75,87,85,98,101,110,113,111,108,95,89,74
1931,80,80,91,96,107,110,114,110,107,97,94,70
1932,73,86,87,95,104,113,112,111,110,96,86,79
1933,75,78,83,90,107,112,113,115,110,99,87,80
1934,76,81,95,99,111,110,116,113,108,103,93,81
1935,83,83,85,93,100,110,112,109,107,99,80,77
1936,76,83,90,100,106,114,114,110,107,100,87,75
1937,66,78,85,96,107,108,114,111,106,100,90,77
1938,77,77,84,99,108,112,112,111,107,98,79,82
1939,72,76,91,99,105,109,114,109,110,95,89,84
1940,82,83,88,95,104,115,113,113,107,96,86,83
1941,76,81,83,90,102,108,110,106,104,96,89,80
1942,78,77,90,92,106,112,116,108,105,98,88,79
1943,73,87,92,102,104,108,115,107,108,97,85,74
1944,79,81,81,91,98,112,111,113,107,100,86,76
1945,78,80,84,99,98,109,110,109,113,96,91,74
1946,77,82,88,100,99,109,112,111,108,89,80,80
1947,76,85,90,96,109,107,113,110,112,102,92,76
1948,81,83,81,99,102,112,112,113,112,100,82,76
1949,65,82,85,102,106,109,112,111,108,98,90,83
1950,84,84,91,100,101,114,113,113,116,103,89,87
1951,83,87,87,94,112,109,111,108,105,100,81,76
1952,74,78,82,95,103,110,112,110,110,102,87,76
1953,83,82,91,98,99,111,113,110,107,100,88,77
1954,81,85,84,96,99,111,112,108,105,99,89,79
1955,74,79,86,90,103,112,107,103,107,99,86,81
1956,80,76,91,91,104,109,110,105,105,98,86,77
1957,71,88,85,91,98,112,112,106,105,99,78,78
1958,74,80,80,97,110,111,118,110,107,98,84,78
1959,73,77,84,98,100,112,111,105,106,96,80,78
1960,74,70,89,94,107,114,112,109,104,96,86,74
1961,78,80,85,98,101,114,114,110,101,98,82,79
1962,76,84,89,101,101,113,112,113,109,98,88,80
1963,77,89,87,99,105,108,112,107,106,102,87,75
1964,71,74,89,97,102,111,112,108,103,97,84,69
1965,77,79,85,97,104,107,113,110,103,99,91,82
1966,75,74,92,96,103,112,113,110,103,94,90,79
1967,79,83,90,87,105,106,110,110,105,98,92,68
1968,74,84,90,94,108,115,110,104,107,95,84,77
1969,75,76,91,96,107,110,113,114,108,98,82,79
1970,75,86,84,91,108,116,113,110,109,93,86,79
1971,88,84,95,94,97,111,114,106,110,95,88,76
1972,75,86,95,94,100,112,115,116,105,103,84,76
1973,78,79,75,98,105,115,115,111,108,100,89,80
1974,78,85,91,95,110,116,113,110,110,103,84,73
1975,81,82,85,91,102,109,113,116,105,100,93,81
1976,83,84,90,96,106,113,111,109,102,96,91,75
1977,76,88,89,99,108,114,112,113,109,102,87,81
1978,79,80,91,94,108,115,115,108,106,102,89,75
1979,70,79,83,97,105,117,114,110,111,104,82,83
1980,75,85,79,102,104,113,115,111,107,107,93,86
1981,81,88,89,100,99,114,111,113,106,96,88,84
1982,79,87,83,97,102,110,113,112,112,96,83,73
1983,80,79,90,93,113,108,116,111,112,96,85,73
1984,79,82,89,101,113,111,112,112,107,94,88,74
1985,73,82,86,100,105,115,115,115,106,97,87,77
1986,84,92,98,97,105,112,115,113,111,96,85,75
1987,81,84,86,100,102,115,114,110,107,104,87,79
1988,80,85,100,100,107,116,113,113,108,105,93,80
1989,79,89,95,105,110,115,118,111,109,101,90,76
1990,84,85,94,100,105,122,115,111,112,99,89,79
1991,76,85,85,97,103,110,112,113,108,105,90,75
1992,77,83,85,105,102,111,112,113,108,102,86,71
1993,77,76,88,98,105,114,113,114,109,104,84,76
1994,80,80,87,100,105,117,112,113,107,93,83,77
1995,71,85,87,93,101,110,121,114,110,100,87,78
1996,80,84,89,100,109,111,115,112,103,103,89,83
1997,76,83,94,96,107,108,114,111,107,104,90,74
1998,75,75,92,98,99,111,117,113,108,98,82,79
1999,78,85,89,96,104,110,111,111,106,101,93,77
2000,81,83,84,101,110,109,113,112,112,102,76,77
2001,76,79,90,100,109,113,116,114,110,98,95,77
2002,81,84,93,100,109,113,113,112,111,96,87,74
2003,86,83,90,93,111,112,117,116,110,106,83,80
2004,79,81,97,98,104,110,112,112,108,99,87,80
2005,81,72,88,96,109,114,116,113,108,101,90,78
2006,81,85,87,96,105,113,118,108,107,101,90,79
2007,78,83,99,101,106,112,116,114,111,98,94,75
2008,73,83,89,99,110,115,112,113,108,100,94,78
2009,80,85,90,102,107,111,115,114,107,102,96,73
2010,75,78,87,96,101,113,114,112,111,106,92,82
2011,76,81,93,100,101,115,118,117,112,100,88,75
2012,81,81,94,105,109,112,113,116,107,104,91,82
2013,81,80,95,102,103,119,113,114,111,97,92,82
2014,81,88,89,98,108,110,116,111,109,99,90,78
2015,81,84,97,99,107,115,110,117,107,106,88,79
2016,76,90,92,97,102,118,112,111,106,100,90,77
2017,76,83,96,99,108,119,118,111,110,99,89,84
2018,83,84,92,100,106,111,116,114,109,93,84,75
2019,74,77,87,100,100,112,110,M,M,M,M,M